Date, Data
2017-01-01, 60.6569
2017-01-02, 60.6569
2017-01-03, 60.6569
2017-01-04, 60.6569
2017-01-05, 60.6569
2017-01-06, 60.6569
2017-01-07, 60.6569
2017-01-08, 60.6569
2017-01-09, 60.6569
2017-01-10, 59.8961
2017-01-11, 59.9533
2017-01-12, 60.1614
2017-01-13, 59.4978
2017-01-14, 59.3700
2017-01-15, 59.3700
2017-01-16, 59.3700
2017-01-17, 59.6067
2017-01-18, 59.4015
2017-01-19, 59.1830
2017-01-20, 59.3521
2017-01-21, 59.6697
2017-01-22, 59.6697
2017-01-23, 59.6697
2017-01-24, 59.5034
2017-01-25, 59.2168
2017-01-26, 59.1489
2017-01-27, 59.6356
2017-01-28, 60.3196
2017-01-29, 60.3196
2017-01-30, 60.3196
2017-01-31, 60.1618
2017-02-01, 60.0851
2017-02-02, 60.3099
2017-02-03, 59.9858
2017-02-04, 59.3137
2017-02-05, 59.3137
2017-02-06, 59.3137
2017-02-07, 58.7121
2017-02-08, 59.1933
2017-02-09, 59.5129
2017-02-10, 59.0235
2017-02-11, 58.8457
2017-02-12, 58.8457
2017-02-13, 58.8457
2017-02-14, 58.0619
2017-02-15, 57.7388
2017-02-16, 56.7719
2017-02-17, 57.1507
2017-02-18, 57.6342
2017-02-19, 57.6342
2017-02-20, 57.6342
2017-02-21, 58.0967
2017-02-22, 57.8590
2017-02-23, 57.4762
2017-02-24, 57.4762
2017-02-25, 57.4762
2017-02-26, 57.4762
2017-02-27, 57.4762
2017-02-28, 57.9371
2017-03-01, 57.9627
2017-03-02, 58.3776
2017-03-03, 58.4067
2017-03-04, 58.9099
2017-03-05, 58.9099
2017-03-06, 58.9099
2017-03-07, 58.3370
2017-03-08, 58.2630
2017-03-09, 58.2630
2017-03-10, 58.8318
2017-03-11, 59.2174
2017-03-12, 59.2174
2017-03-13, 59.2174
2017-03-14, 59.1327
2017-03-15, 58.9540
2017-03-16, 59.1128
2017-03-17, 58.2437
2017-03-18, 57.9344
2017-03-19, 57.9344
2017-03-20, 57.9344
2017-03-21, 57.2847
2017-03-22, 57.2323
2017-03-23, 57.6360
2017-03-24, 57.5228
2017-03-25, 57.4247
2017-03-26, 57.4247
2017-03-27, 57.4247
2017-03-28, 57.0233
2017-03-29, 56.9364
2017-03-30, 57.0241
2017-03-31, 56.3779
2017-04-01, 55.9606
2017-04-02, 55.9606
2017-04-03, 55.9606
2017-04-04, 56.1396
2017-04-05, 56.5553
2017-04-06, 55.8940
2017-04-07, 56.4369
2017-04-08, 56.9201
2017-04-09, 56.9201
2017-04-10, 56.9201
2017-04-11, 57.3896
2017-04-12, 56.9552
2017-04-13, 56.7556
2017-04-14, 56.6019
2017-04-15, 56.2945
2017-04-16, 56.2945
2017-04-17, 56.2945
2017-04-18, 56.2505
2017-04-19, 55.9793
2017-04-20, 56.1753
2017-04-21, 56.4165
2017-04-22, 56.2307
2017-04-23, 56.2307
2017-04-24, 56.2307
2017-04-25, 56.0794
2017-04-26, 55.8453
2017-04-27, 56.3131
2017-04-28, 56.9707
2017-04-29, 56.9838
2017-04-30, 56.9838
2017-05-01, 56.9838
2017-05-02, 56.9838
2017-05-03, 56.9518
2017-05-04, 57.0927
2017-05-05, 57.5714
2017-05-06, 58.5382
2017-05-07, 58.5382
2017-05-08, 58.5382
2017-05-09, 58.5382
2017-05-10, 58.5382
2017-05-11, 58.0824
2017-05-12, 57.1161
2017-05-13, 57.1640
2017-05-14, 57.1640
2017-05-15, 57.1640
2017-05-16, 56.5258
2017-05-17, 56.2603
2017-05-18, 56.7383
2017-05-19, 57.4683
2017-05-20, 57.1602
2017-05-21, 57.1602
2017-05-22, 57.1602
2017-05-23, 56.4988
2017-05-24, 56.5552
2017-05-25, 56.2743
2017-05-26, 56.0701
2017-05-27, 56.7560
2017-05-28, 56.7560
2017-05-29, 56.7560
2017-05-30, 56.7106
2017-05-31, 56.5168
2017-06-01, 56.6876
2017-06-02, 56.5373
2017-06-03, 56.6876
2017-06-04, 56.6876
2017-06-05, 56.6876
2017-06-06, 56.6152
2017-06-07, 56.6747
2017-06-08, 56.5878
2017-06-09, 56.9857
2017-06-10, 57.0020
2017-06-11, 57.0020
2017-06-12, 57.0020
2017-06-13, 57.0020
2017-06-14, 56.9096
2017-06-15, 57.0303
2017-06-16, 57.4437
2017-06-17, 57.7408
2017-06-18, 57.7408
2017-06-19, 57.7408
2017-06-20, 57.9585
2017-06-21, 58.5786
2017-06-22, 60.0000
2017-06-23, 60.1482
