date,data
1993-01-06,417.0
1993-01-07,417.0
1993-01-08,417.0
1993-01-09,417.0
1993-01-10,417.0
1993-01-11,417.0
1993-01-12,417.0
1993-01-13,423.0
1993-01-14,423.0
1993-01-15,442.0
1993-01-16,442.0
1993-01-17,442.0
1993-01-18,442.0
1993-01-19,442.0
1993-01-20,474.5
1993-01-21,474.5
1993-01-22,493.0
1993-01-23,493.0
1993-01-24,493.0
1993-01-25,493.0
1993-01-26,493.0
1993-01-27,568.0
1993-01-28,568.0
1993-01-29,572.0
1993-01-30,572.0
1993-01-31,572.0
1993-02-01,572.0
1993-02-02,572.0
1993-02-03,572.0
1993-02-04,572.0
1993-02-05,572.0
1993-02-06,572.0
1993-02-07,572.0
1993-02-08,572.0
1993-02-09,572.0
1993-02-10,561.0
1993-02-11,561.0
1993-02-12,560.0
1993-02-13,560.0
1993-02-14,560.0
1993-02-15,560.0
1993-02-16,560.0
1993-02-17,559.0
1993-02-18,559.0
1993-02-19,559.0
1993-02-20,559.0
1993-02-21,559.0
1993-02-22,559.0
1993-02-23,559.0
1993-02-24,576.0
1993-02-25,576.0
1993-02-26,593.0
1993-02-27,593.0
1993-02-28,593.0
1993-03-01,593.0
1993-03-02,593.0
1993-03-03,649.0
1993-03-04,649.0
1993-03-05,648.0
1993-03-06,648.0
1993-03-07,648.0
1993-03-08,648.0
1993-03-09,648.0
1993-03-10,650.0
1993-03-11,650.0
1993-03-12,653.0
1993-03-13,653.0
1993-03-14,653.0
1993-03-15,653.0
1993-03-16,653.0
1993-03-17,662.0
1993-03-18,662.0
1993-03-19,667.0
1993-03-20,667.0
1993-03-21,667.0
1993-03-22,667.0
1993-03-23,667.0
1993-03-24,684.0
1993-03-25,684.0
1993-03-26,684.0
1993-03-27,684.0
1993-03-28,684.0
1993-03-29,684.0
1993-03-30,684.0
1993-03-31,684.0
1993-04-01,684.0
1993-04-02,692.0
1993-04-03,692.0
1993-04-04,692.0
1993-04-05,692.0
1993-04-06,692.0
1993-04-07,712.0
1993-04-08,712.0
1993-04-09,740.0
1993-04-10,740.0
1993-04-11,740.0
1993-04-12,740.0
1993-04-13,740.0
1993-04-14,766.0
1993-04-15,766.0
1993-04-16,779.0
1993-04-17,779.0
1993-04-18,779.0
1993-04-19,779.0
1993-04-20,779.0
1993-04-21,786.0
1993-04-22,786.0
1993-04-23,795.0
1993-04-24,795.0
1993-04-25,795.0
1993-04-26,795.0
1993-04-27,795.0
1993-04-28,812.0
1993-04-29,812.0
1993-04-30,823.0
1993-05-07,829.0
1993-05-08,829.0
1993-05-09,829.0
1993-05-10,829.0
1993-05-11,829.0
1993-05-12,859.0
1993-05-13,859.0
1993-05-14,886.0
1993-05-15,886.0
1993-05-16,886.0
1993-05-17,886.0
1993-05-18,886.0
1993-05-19,934.0
1993-05-20,934.0
1993-05-21,940.0
1993-05-22,940.0
1993-05-23,940.0
1993-05-24,940.0
1993-05-25,940.0
1993-05-26,960.0
1993-05-27,960.0
1993-05-28,994.0
1993-05-29,994.0
1993-05-30,994.0
1993-05-31,994.0
1993-06-01,994.0
1993-06-02,1050.0
1993-06-03,1050.0
1993-06-04,1072.0
1993-06-05,1072.0
1993-06-06,1072.0
1993-06-07,1072.0
1993-06-08,1072.0
1993-06-09,1104.0
1993-06-10,1104.0
1993-06-11,1104.0
1993-06-12,1104.0
1993-06-13,1104.0
1993-06-14,1104.0
1993-06-15,1104.0
1993-06-16,1116.0
1993-06-17,1116.0
1993-06-18,1090.0
1993-06-19,1090.0
1993-06-20,1090.0
1993-06-21,1090.0
1993-06-22,1090.0
1993-06-23,1079.0
1993-06-24,1079.0
1993-06-25,1066.0
1993-06-26,1066.0
1993-06-27,1066.0
1993-06-28,1066.0
1993-06-29,1066.0
1993-06-30,1060.0
1993-07-02,1059.0
1993-07-03,1059.0
1993-07-04,1059.0
